ID_BARRAGEM	MINERIO PRINCIPAL	ALTURA ATUAL (m)	VOLUME ATUAL (m3)	METODO CONSTRUTIVO	CATEGORIA DE RISCO	DANO POTENCIAL ASSOCIADO	CLASSE
1	Minerio de Estanho Primario	22	27700000	Etapa unica	Baixa	Media	C
2	Minerio de Estanho Primario	10,3	924000	Etapa unica	Baixa	Media	C
3	Minerio de Estanho Primario	5	48873	Etapa unica	Baixa	Media	C
4	Minerio de Estanho Primario	30	53380000	Alteamento a jusante	Baixa	Alta	B
5	Minerio de Estanho Primario	22	1018054	Etapa unica	Baixa	Media	C
6	Minerio de Estanho Primario	14,7	886241	Etapa unica	Baixa	Media	C
7	Minerio de Estanho Primario	4	75522	Etapa unica	Baixa	Media	C
8	Minerio de Estanho Primario	18	52800	Etapa unica	Baixa	Media	C
9	Caulim	25	1755555	Alteamento a jusante	Baixa	Media	C
10	Itabirito	28	25366731	Alteamento a montante ou desconhecido	Media	Media	C
11	Minerio de Ouro Primario	27	11352000	Alteamento a jusante	Baixa	Alta	B
12	Minerio de Ouro Primario	36	6280000	Etapa unica	Baixa	Alta	B
13	Minerio de Ferro	15,5	440300	Etapa unica	Baixa	Baixa	E
14	Rocha Aurifera	61	10000000	Alteamento por linha de centro	Baixa	Alta	B
15	Areia	12	348370	Alteamento a montante ou desconhecido	Media	Media	C
16	Rocha Aurifera	88	9146767,12	Alteamento a jusante	Baixa	Alta	B
17	Areia	19	1438806	Alteamento a montante ou desconhecido	Media	Baixa	D
18	Minerio de Ouro Primario	25	1403849	Alteamento a jusante	Baixa	Alta	B
19	Minerio de Ouro Primario	22	207365	Alteamento a jusante	Baixa	Alta	B
20	Minerio de Vanadio	11,99	149486,93	Alteamento por linha de centro	Baixa	Media	C
21	Minerio de Vanadio	15,19	391923,43	Etapa unica	Baixa	Baixa	E
22	Minerio de Vanadio	20,21	425141	Etapa unica	Baixa	Media	C
23	Minerio de Cobre	6,65	45400000	Etapa unica	Baixa	Baixa	E
24	Minerio de Niquel	27	23238613,66	Alteamento a jusante	Baixa	Alta	B
25	Rocha Aurifera	23	13770423	Alteamento a jusante	Baixa	Alta	B
26	Rocha Aurifera	11,17	1721104	Alteamento a jusante	Baixa	Alta	B
27	Rocha Aurifera	17,89	248254,3	Alteamento a jusante	Baixa	Alta	B
28	Rocha Aurifera	8,37	5000	Etapa unica	Baixa	Media	C
29	Sedimento	7	1171600	Etapa unica	Baixa	Media	C
30	Fosfato	28	1500000	Alteamento a jusante	Baixa	Media	C
31	Fosfato	56	32000000	Alteamento por linha de centro	Baixa	Alta	B
32	Minerio de Cobre	47	179363962	Alteamento por linha de centro	Baixa	Alta	B
33	Minerio de Ouro Primario	37	6488715,79	Alteamento a jusante	Baixa	Alta	B
34	Rocha Fosfatica	65	45000000	Alteamento a montante ou desconhecido	Baixa	Alta	B
35	Vermiculita	12	600000	Etapa unica	Baixa	Alta	B
36	Minerio de Ouro Primario	87	4829094,43	Alteamento a montante ou desconhecido	Baixa	Alta	B
37	Minerio de Niobio	31	100000	Alteamento a montante ou desconhecido	Media	Alta	B
38	Minerio de Niobio	25	1800000	Alteamento a jusante	Baixa	Alta	B
39	Minerio de Niobio	20	1100000	Alteamento a jusante	Baixa	Alta	B
40	Minerio de Ferro	78	13718217	Alteamento a jusante	Baixa	Alta	B
41	Minerio de Ferro	55	7100000	Alteamento a jusante	Baixa	Alta	B
42	Minerio de Ferro	27,4	79431	Etapa unica	Baixa	Alta	B
