ID_BARRAGEM	NOME DA BARRAGEM DE MINERAÇÃO	NOME DO EMPREENDEDOR	CPF/CNPJ	LATITUDE	LONGITUDE	POSICIONAMENTO	UF	MUNICÍPIO	MINÉRIO PRINCIPAL	ALTURA ATUAL (m)	VOLUME ATUAL (m3)	MÉTODO CONSTRUTIVO	CATEGORIA DE RISCO	DANO POTENCIAL ASSOCIADO	CLASSE	INSERIDA NA PNSB?
1	0-1	Mineração Taboca S.a.	34.019.992/0001-10	"-0°44'00.100"""	"-60°08'18.200"""	Sul do Equador	AM	PRESIDENTE FIGUEIREDO	Minério de Estanho Primário	22	27700000	Etapa única	Baixa	Média	C	Sim
2	103 (Cruz)	Mineração Taboca S.a.	34.019.992/0001-10	"-0°47'08.600"""	"-60°08'30.900"""	Sul do Equador	AM	PRESIDENTE FIGUEIREDO	Minério de Estanho Primário	10,3	924000	Etapa única	Baixa	Média	C	Sim
3	111 (Índio)	Mineração Taboca S.a.	34.019.992/0001-10	"-0°47'22.800"""	"-60°08'39.400"""	Sul do Equador	AM	PRESIDENTE FIGUEIREDO	Minério de Estanho Primário	5	48873	Etapa única	Baixa	Média	C	Sim
4	158 (A-1)	Mineração Taboca S.a.	34.019.992/0001-10	"-0°44'16.900"""	"-60°04'44.100"""	Sul do Equador	AM	PRESIDENTE FIGUEIREDO	Minério de Estanho Primário	30	53380000	Alteamento a jusante	Baixa	Alta	B	Sim
5	161 (A-2)	Mineração Taboca S.a.	34.019.992/0001-10	"-0°43'56.233"""	"-60°04'08.396"""	Sul do Equador	AM	PRESIDENTE FIGUEIREDO	Minério de Estanho Primário	22	1018054	Etapa única	Baixa	Média	C	Sim
6	444 (A-3)	Mineração Taboca S.a.	34.019.992/0001-10	"-0°44'18.326"""	"-60°04'33.114"""	Sul do Equador	AM	PRESIDENTE FIGUEIREDO	Minério de Estanho Primário	14,7	886241	Etapa única	Baixa	Média	C	Sim
7	81-1	Mineração Taboca S.a.	34.019.992/0001-10	"-0°44'35.500"""	"-60°12'05.100"""	Sul do Equador	AM	PRESIDENTE FIGUEIREDO	Minério de Estanho Primário	4	75522	Etapa única	Baixa	Média	C	Sim
8	Pau D'Arco	Mineração Taboca S.a.	34.019.992/0001-10	"-0°45'23.673"""	"-60°05'16.904"""	Sul do Equador	AM	PRESIDENTE FIGUEIREDO	Minério de Estanho Primário	18	52800	Etapa única	Baixa	Média	C	Sim
9	Barragem da Cava	Cadam S.a.	04.788.980/0001-90	"-0°53'51.673"""	"-52°22'44.295"""	Sul do Equador	AP	VITÓRIA DO JARI	Caulim	25	1755555	Alteamento a jusante	Baixa	Média	C	Sim
10	Mario Cruz	Zamin Amapá Mineração S.a.	06.030.747/0001-79	"0°48'03.009"""	"-51°52'28.293"""	Norte do Equador	AP	PEDRA BRANCA DO AMAPARI	Itabirito	28	25366731	Alteamento a montante ou desconhecido	Média	Média	C	Sim
